Twitter_Sentiment,News_Sentiment,Average_Score,Sentiment,datetime
0.047106618876750835,0.09288613408776782,0.08373023104556442,Slightly Positive,2020-12-30 12:10:45
0.06299275003955547,0.09288613408776783,0.08690745727812535,Slightly Positive,2020-12-30 11:55:45
0.057785336182044476,0.09288613408776784,0.08586597450662314,Slightly Positive,2020-12-30 11:40:48
0.06445947627971771,0.09288613408776784,0.08720080252615779,Slightly Positive,2020-12-30 11:25:45
0.05255488800927369,0.11646824710872528,0.10368557528883496,Slightly Positive,2020-12-30 11:10:46
0.06188976184994877,0.11646824710872528,0.10555255005696998,Slightly Positive,2020-12-30 10:55:45
0.07199142089907261,0.09190162271766067,0.08791958235394308,Slightly Positive,2020-12-30 10:40:50
0.047584296818317134,0.09190162271766067,0.08303815753779198,Slightly Positive,2020-12-30 10:25:44
0.04706187661213609,0.11386573877056907,0.10050496633888248,Slightly Positive,2020-12-30 10:10:45
0.05399230255420701,0.11953892010248444,0.10642959659282897,Slightly Positive,2020-12-30 09:55:44
0.062383110950648475,0.11945922460774387,0.10804400187632482,Slightly Positive,2020-12-30 09:40:44
0.05779240790421621,0.13175611738670884,0.11696337549021033,Slightly Positive,2020-12-30 09:25:45
0.04239066226488381,0.13898913945673813,0.11966944401836728,Slightly Positive,2020-12-30 09:10:46
0.035805168002630165,0.14202545214564113,0.12078139531703895,Slightly Positive,2020-12-30 08:55:46
0.04861174052647939,0.14202545214564113,0.1233427098218088,Slightly Positive,2020-12-30 08:40:44
0.043142534983950466,0.17380307266674622,0.14767096513018707,Slightly Positive,2020-12-30 08:25:44
0.06185895267143996,0.15663548177861175,0.13768017595717738,Slightly Positive,2020-12-30 08:10:44
0.05367133038937918,0.1814918104877993,0.1559277144681153,Slightly Positive,2020-12-30 07:55:46
0.0672425633734855,0.17522479550400133,0.15362834907789816,Slightly Positive,2020-12-30 07:40:45
0.0453456884994109,0.1814918104877993,0.1542625860901216,Slightly Positive,2020-12-30 07:25:45
0.06478368362813795,0.17218941444209582,0.15070826827930422,Slightly Positive,2020-12-30 07:10:47
0.0598719336444501,0.17811916486345986,0.15446971861965791,Slightly Positive,2020-12-30 06:55:45
0.049483197375147066,0.17218941444209582,0.14764817102870606,Slightly Positive,2020-12-30 06:40:45
0.05404273343059995,0.17218941444209582,0.14856007823979664,Slightly Positive,2020-12-30 06:25:45
0.04959207884445969,0.20187255295015907,0.1714164581290192,Slightly Positive,2020-12-30 06:10:44
0.06534191854824613,0.17879093842283306,0.15610113444791565,Slightly Positive,2020-12-30 05:55:44
0.05121157334260296,0.1542176576971292,0.13361644082622395,Slightly Positive,2020-12-30 05:40:47
0.05514198571823158,0.1676410979019808,0.14514127546523098,Slightly Positive,2020-12-30 05:25:44
0.059844790275688085,0.15863487818435584,0.1388768606026223,Slightly Positive,2020-12-30 05:10:46
0.057508682937960666,0.15863487818435584,0.1384096391350768,Slightly Positive,2020-12-30 04:55:45
0.05189452922687627,0.15939224982364714,0.13789270570429296,Slightly Positive,2020-12-30 04:40:43
0.05820809842583504,0.16870589908983438,0.1466063389570345,Slightly Positive,2020-12-30 04:25:45
0.050406199371890066,0.14844843922193826,0.1288399912519286,Slightly Positive,2020-12-30 04:10:46
0.04843338195090659,0.14515657493614725,0.12581193633909912,Slightly Positive,2020-12-30 03:55:44
0.057961331876100336,0.1765337708559613,0.1528192830599891,Slightly Positive,2020-12-30 03:40:46
0.05020621578880103,0.19747572985251416,0.16802182703977153,Slightly Positive,2020-12-30 03:25:43
0.0592940727584369,0.18186840922458086,0.15735354193135215,Slightly Positive,2020-12-30 03:10:44
0.0498162797157912,0.18055370671488288,0.15440622131506454,Slightly Positive,2020-12-30 02:55:43
0.062247175787603526,0.18055370671488288,0.15689240052942702,Slightly Positive,2020-12-30 02:40:49
0.05362731126211899,0.18055370671488288,0.15516842762433009,Slightly Positive,2020-12-30 02:25:42
0.046073814953907104,0.18055370671488288,0.1536577283626877,Slightly Positive,2020-12-30 02:10:45
0.0549692454365688,0.18055370671488288,0.15543681445922006,Slightly Positive,2020-12-30 01:55:44
0.044194002648315335,0.16463487179618327,0.14054669796660968,Slightly Positive,2020-12-30 01:40:45
0.05867140516693446,0.16463487179618327,0.14344217847033353,Slightly Positive,2020-12-30 01:25:43
0.05422577144027256,0.15823825673850264,0.13743575967885666,Slightly Positive,2020-12-30 01:10:42
0.06651858374864147,0.17139320265441008,0.15041827887325634,Slightly Positive,2020-12-30 00:55:42
0.06124029684855456,0.16577022831223046,0.14486424201949527,Slightly Positive,2020-12-30 00:40:43
0.06285813981782648,0.17043988467359722,0.14892353570244307,Slightly Positive,2020-12-30 00:25:42
0.055943167763716016,0.17832005123304395,0.15384467453917836,Slightly Positive,2020-12-30 00:10:42
0.058129660363690015,0.17832005123304395,0.15428197305917318,Slightly Positive,2020-12-29 23:55:41
0.058790280566100216,0.17902408360186192,0.1549773229947096,Slightly Positive,2020-12-29 23:40:42
0.05920509208813993,0.17902408360186192,0.15506028529911753,Slightly Positive,2020-12-29 23:25:42
0.055686673953846536,0.17902408360186192,0.15435660167225884,Slightly Positive,2020-12-29 23:10:55
0.04994890734344397,0.20253306763006967,0.17201623557274456,Slightly Positive,2020-12-29 22:55:44
0.03860822261079354,0.2156882123218392,0.18027221437963006,Slightly Positive,2020-12-29 22:40:43
0.040783261109408386,0.20365787545238886,0.17108295258379286,Slightly Positive,2020-12-29 22:25:43
0.05226813045102287,0.20365787545238886,0.1733799264521157,Slightly Positive,2020-12-29 22:10:46
